,GraduationYear,FieldofStudy,NFQLevel,Institutions,NumberofGraduates
8661,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 9,Maynooth University,40
8666,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 9,IT Tallaght,10
8668,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 9,Trinity College Dublin,60
8676,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,University College Cork,70
8679,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,Dublin City University,20
8682,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,University College Dublin,50
8683,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,Dublin Institute of Technology,10
8685,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,"National University of Ireland, Galway",30
8687,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,University of Limerick,20
8690,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,Maynooth University,20
8697,2014,"Natural Sciences, Mathematics and Statistics",NFQ Level 10,Trinity College Dublin,60
8744,2014,Information and Communication Technologies,NFQ Level 6,Limerick IT,20
8754,2014,Information and Communication Technologies,NFQ Level 6,IT Tralee,10
8760,2014,Information and Communication Technologies,NFQ Level 7,Athlone IT,20
8762,2014,Information and Communication Technologies,NFQ Level 7,IT Blanchardstown,10
8765,2014,Information and Communication Technologies,NFQ Level 7,IT Carlow,20
8767,2014,Information and Communication Technologies,NFQ Level 7,Dundalk IT,30
8768,2014,Information and Communication Technologies,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",10
8770,2014,Information and Communication Technologies,NFQ Level 7,Dublin Institute of Technology,10
8771,2014,Information and Communication Technologies,NFQ Level 7,Galway-Mayo IT,40
8773,2014,Information and Communication Technologies,NFQ Level 7,Limerick IT,20
8775,2014,Information and Communication Technologies,NFQ Level 7,Letterkenny IT,20
8781,2014,Information and Communication Technologies,NFQ Level 7,IT Sligo,30
8782,2014,Information and Communication Technologies,NFQ Level 7,IT Tallaght,30
8783,2014,Information and Communication Technologies,NFQ Level 7,IT Tralee,10
8786,2014,Information and Communication Technologies,NFQ Level 7,Waterford IT,20
8789,2014,Information and Communication Technologies,NFQ Level 8,Athlone IT,40
8791,2014,Information and Communication Technologies,NFQ Level 8,IT Blanchardstown,10
8792,2014,Information and Communication Technologies,NFQ Level 8,University College Cork,180
8793,2014,Information and Communication Technologies,NFQ Level 8,Cork IT,20
8794,2014,Information and Communication Technologies,NFQ Level 8,IT Carlow,20
8795,2014,Information and Communication Technologies,NFQ Level 8,Dublin City University,90
8796,2014,Information and Communication Technologies,NFQ Level 8,Dundalk IT,30
8797,2014,Information and Communication Technologies,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",10
8798,2014,Information and Communication Technologies,NFQ Level 8,University College Dublin,40
8799,2014,Information and Communication Technologies,NFQ Level 8,Dublin Institute of Technology,100
8800,2014,Information and Communication Technologies,NFQ Level 8,Galway-Mayo IT,50
8801,2014,Information and Communication Technologies,NFQ Level 8,"National University of Ireland, Galway",70
8802,2014,Information and Communication Technologies,NFQ Level 8,Limerick IT,30
8803,2014,Information and Communication Technologies,NFQ Level 8,University of Limerick,80
8804,2014,Information and Communication Technologies,NFQ Level 8,Letterkenny IT,20
8806,2014,Information and Communication Technologies,NFQ Level 8,Maynooth University,50
8810,2014,Information and Communication Technologies,NFQ Level 8,IT Sligo,10
8811,2014,Information and Communication Technologies,NFQ Level 8,IT Tallaght,20
8813,2014,Information and Communication Technologies,NFQ Level 8,Trinity College Dublin,10
8815,2014,Information and Communication Technologies,NFQ Level 8,Waterford IT,40
8818,2014,Information and Communication Technologies,NFQ Level 9,Athlone IT,20
8820,2014,Information and Communication Technologies,NFQ Level 9,IT Blanchardstown,10
8821,2014,Information and Communication Technologies,NFQ Level 9,University College Cork,210
8822,2014,Information and Communication Technologies,NFQ Level 9,Cork IT,10
8824,2014,Information and Communication Technologies,NFQ Level 9,Dublin City University,20
8827,2014,Information and Communication Technologies,NFQ Level 9,University College Dublin,110
8828,2014,Information and Communication Technologies,NFQ Level 9,Dublin Institute of Technology,30
8830,2014,Information and Communication Technologies,NFQ Level 9,"National University of Ireland, Galway",20
8832,2014,Information and Communication Technologies,NFQ Level 9,University of Limerick,50
8835,2014,Information and Communication Technologies,NFQ Level 9,Maynooth University,20
8842,2014,Information and Communication Technologies,NFQ Level 9,Trinity College Dublin,30
8844,2014,Information and Communication Technologies,NFQ Level 9,Waterford IT,20
8856,2014,Information and Communication Technologies,NFQ Level 10,University College Dublin,10
8905,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,Athlone IT,10
8910,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,IT Carlow,10
8915,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,Dublin Institute of Technology,10
8916,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,Galway-Mayo IT,10
8918,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,Limerick IT,50
8927,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,IT Tallaght,10
8931,2014,"Engineering, Manufacturing and Construction",NFQ Level 6,Waterford IT,10
8934,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Athlone IT,40
8936,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Blanchardstown,20
8938,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Cork IT,80
8939,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Carlow,40
8941,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Dundalk IT,40
8944,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Dublin Institute of Technology,170
8945,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Galway-Mayo IT,120
8947,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Limerick IT,70
8949,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Letterkenny IT,10
8955,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Sligo,60
8956,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Tallaght,30
8957,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,IT Tralee,20
8960,2014,"Engineering, Manufacturing and Construction",NFQ Level 7,Waterford IT,30
8963,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Athlone IT,30
8965,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Blanchardstown,20
8966,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,University College Cork,90
8967,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Cork IT,170
8968,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Carlow,30
8969,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Dublin City University,80
8970,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Dundalk IT,40
8972,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,University College Dublin,240
8973,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Dublin Institute of Technology,310
8974,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Galway-Mayo IT,90
8975,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,"National University of Ireland, Galway",210
8976,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Limerick IT,70
8977,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,University of Limerick,250
8978,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Letterkenny IT,20
8980,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Maynooth University,40
8984,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Sligo,50
8985,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Tallaght,70
8986,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,IT Tralee,10
8987,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Trinity College Dublin,80
8989,2014,"Engineering, Manufacturing and Construction",NFQ Level 8,Waterford IT,80
8995,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,University College Cork,40
8996,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Cork IT,40
8998,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Dublin City University,10
9001,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,University College Dublin,230
9002,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Dublin Institute of Technology,50
9003,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Galway-Mayo IT,10
9004,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,"National University of Ireland, Galway",40
9006,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,University of Limerick,30
9009,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Maynooth University,10
9016,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Trinity College Dublin,30
9018,2014,"Engineering, Manufacturing and Construction",NFQ Level 9,Waterford IT,10
9024,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,University College Cork,10
9027,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,Dublin City University,10
9030,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,University College Dublin,30
9033,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,"National University of Ireland, Galway",10
9035,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,University of Limerick,10
9045,2014,"Engineering, Manufacturing and Construction",NFQ Level 10,Trinity College Dublin,30
9086,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 6,Dundalk IT,30
9102,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 6,IT Tralee,20
9108,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Athlone IT,20
9112,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Cork IT,50
9115,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Dundalk IT,50
9119,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Galway-Mayo IT,40
9123,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Letterkenny IT,10
9131,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,IT Tralee,10
9134,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 7,Waterford IT,80
9139,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,IT Blanchardstown,10
9141,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Cork IT,30
9144,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Dundalk IT,20
9146,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,University College Dublin,300
9148,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Galway-Mayo IT,10
9163,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 8,Waterford IT,20
9175,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 9,University College Dublin,20
9204,2014,"Agriculture, Forestry, Fisheries and Veterinary",NFQ Level 10,University College Dublin,20
9253,2014,Health and Welfare,NFQ Level 6,Athlone IT,70
9258,2014,Health and Welfare,NFQ Level 6,IT Carlow,20
9263,2014,Health and Welfare,NFQ Level 6,Dublin Institute of Technology,10
9265,2014,Health and Welfare,NFQ Level 6,"National University of Ireland, Galway",130
9267,2014,Health and Welfare,NFQ Level 6,University of Limerick,100
9268,2014,Health and Welfare,NFQ Level 6,Letterkenny IT,30
9282,2014,Health and Welfare,NFQ Level 7,Athlone IT,70
9284,2014,Health and Welfare,NFQ Level 7,IT Blanchardstown,30
9285,2014,Health and Welfare,NFQ Level 7,University College Cork,10
9286,2014,Health and Welfare,NFQ Level 7,Cork IT,90
9287,2014,Health and Welfare,NFQ Level 7,IT Carlow,50
9289,2014,Health and Welfare,NFQ Level 7,Dundalk IT,10
9295,2014,Health and Welfare,NFQ Level 7,Limerick IT,10
9297,2014,Health and Welfare,NFQ Level 7,Letterkenny IT,10
9303,2014,Health and Welfare,NFQ Level 7,IT Sligo,60
9305,2014,Health and Welfare,NFQ Level 7,IT Tralee,60
9306,2014,Health and Welfare,NFQ Level 7,Trinity College Dublin,20
9308,2014,Health and Welfare,NFQ Level 7,Waterford IT,80
9311,2014,Health and Welfare,NFQ Level 8,Athlone IT,100
9312,2014,Health and Welfare,NFQ Level 8,St Angela's College of Home Economics,30
9313,2014,Health and Welfare,NFQ Level 8,IT Blanchardstown,50
9314,2014,Health and Welfare,NFQ Level 8,University College Cork,480
9315,2014,Health and Welfare,NFQ Level 8,Cork IT,110
9316,2014,Health and Welfare,NFQ Level 8,IT Carlow,140
9317,2014,Health and Welfare,NFQ Level 8,Dublin City University,210
9318,2014,Health and Welfare,NFQ Level 8,Dundalk IT,110
9320,2014,Health and Welfare,NFQ Level 8,University College Dublin,490
9321,2014,Health and Welfare,NFQ Level 8,Dublin Institute of Technology,130
9322,2014,Health and Welfare,NFQ Level 8,Galway-Mayo IT,30
9323,2014,Health and Welfare,NFQ Level 8,"National University of Ireland, Galway",250
9324,2014,Health and Welfare,NFQ Level 8,Limerick IT,50
9325,2014,Health and Welfare,NFQ Level 8,University of Limerick,100
9326,2014,Health and Welfare,NFQ Level 8,Letterkenny IT,70
9328,2014,Health and Welfare,NFQ Level 8,Maynooth University,20
9331,2014,Health and Welfare,NFQ Level 8,Royal College of Surgeons,240
9332,2014,Health and Welfare,NFQ Level 8,IT Sligo,110
9333,2014,Health and Welfare,NFQ Level 8,IT Tallaght,40
9334,2014,Health and Welfare,NFQ Level 8,IT Tralee,80
9335,2014,Health and Welfare,NFQ Level 8,Trinity College Dublin,630
9337,2014,Health and Welfare,NFQ Level 8,Waterford IT,230
9343,2014,Health and Welfare,NFQ Level 9,University College Cork,60
9346,2014,Health and Welfare,NFQ Level 9,Dublin City University,10
9349,2014,Health and Welfare,NFQ Level 9,University College Dublin,110
9352,2014,Health and Welfare,NFQ Level 9,"National University of Ireland, Galway",70
9354,2014,Health and Welfare,NFQ Level 9,University of Limerick,50
9357,2014,Health and Welfare,NFQ Level 9,Maynooth University,10
9360,2014,Health and Welfare,NFQ Level 9,Royal College of Surgeons,170
9364,2014,Health and Welfare,NFQ Level 9,Trinity College Dublin,110
9372,2014,Health and Welfare,NFQ Level 10,University College Cork,10
9375,2014,Health and Welfare,NFQ Level 10,Dublin City University,10
9378,2014,Health and Welfare,NFQ Level 10,University College Dublin,20
9381,2014,Health and Welfare,NFQ Level 10,"National University of Ireland, Galway",10
9389,2014,Health and Welfare,NFQ Level 10,Royal College of Surgeons,20
9393,2014,Health and Welfare,NFQ Level 10,Trinity College Dublin,30
9427,2014,Services,NFQ Level 6,Athlone IT,30
9431,2014,Services,NFQ Level 6,Cork IT,30
9434,2014,Services,NFQ Level 6,Dundalk IT,20
9437,2014,Services,NFQ Level 6,Dublin Institute of Technology,20
9438,2014,Services,NFQ Level 6,Galway-Mayo IT,30
9440,2014,Services,NFQ Level 6,Limerick IT,20
9442,2014,Services,NFQ Level 6,Letterkenny IT,30
9449,2014,Services,NFQ Level 6,IT Tallaght,20
9450,2014,Services,NFQ Level 6,IT Tralee,10
9453,2014,Services,NFQ Level 6,Waterford IT,30
9456,2014,Services,NFQ Level 7,Athlone IT,50
9458,2014,Services,NFQ Level 7,IT Blanchardstown,10
9460,2014,Services,NFQ Level 7,Cork IT,140
9461,2014,Services,NFQ Level 7,IT Carlow,50
9463,2014,Services,NFQ Level 7,Dundalk IT,30
9466,2014,Services,NFQ Level 7,Dublin Institute of Technology,120
9467,2014,Services,NFQ Level 7,Galway-Mayo IT,90
9469,2014,Services,NFQ Level 7,Limerick IT,10
9471,2014,Services,NFQ Level 7,Letterkenny IT,10
9477,2014,Services,NFQ Level 7,IT Sligo,110
9478,2014,Services,NFQ Level 7,IT Tallaght,30
9479,2014,Services,NFQ Level 7,IT Tralee,70
9482,2014,Services,NFQ Level 7,Waterford IT,30
9485,2014,Services,NFQ Level 8,Athlone IT,30
9487,2014,Services,NFQ Level 8,IT Blanchardstown,20
9489,2014,Services,NFQ Level 8,Cork IT,50
9490,2014,Services,NFQ Level 8,IT Carlow,40
9492,2014,Services,NFQ Level 8,Dundalk IT,10
9495,2014,Services,NFQ Level 8,Dublin Institute of Technology,210
9496,2014,Services,NFQ Level 8,Galway-Mayo IT,40
9497,2014,Services,NFQ Level 8,"National University of Ireland, Galway",10
9498,2014,Services,NFQ Level 8,Limerick IT,40
9499,2014,Services,NFQ Level 8,University of Limerick,60
9500,2014,Services,NFQ Level 8,Letterkenny IT,20
9506,2014,Services,NFQ Level 8,IT Sligo,40
9507,2014,Services,NFQ Level 8,IT Tallaght,20
9508,2014,Services,NFQ Level 8,IT Tralee,60
9511,2014,Services,NFQ Level 8,Waterford IT,110
9524,2014,Services,NFQ Level 9,Dublin Institute of Technology,20
9528,2014,Services,NFQ Level 9,University of Limerick,20
9832,2015,Education,NFQ Level 8,National College of Art and Design,10
9834,2015,Education,NFQ Level 8,St Angela's College of Home Economics,50
9836,2015,Education,NFQ Level 8,University College Cork,40
9837,2015,Education,NFQ Level 8,Cork IT,20
9839,2015,Education,NFQ Level 8,Dublin City University,130
9843,2015,Education,NFQ Level 8,Dublin Institute of Technology,30
9844,2015,Education,NFQ Level 8,Galway-Mayo IT,10
9845,2015,Education,NFQ Level 8,"National University of Ireland, Galway",40
9847,2015,Education,NFQ Level 8,University of Limerick,130
9849,2015,Education,NFQ Level 8,Mater Dei Institute,80
9850,2015,Education,NFQ Level 8,Maynooth University,80
9851,2015,Education,NFQ Level 8,Mary Immaculate College,100
9852,2015,Education,NFQ Level 8,St. Patrick's College,30
9857,2015,Education,NFQ Level 8,Trinity College Dublin,50
9859,2015,Education,NFQ Level 8,Waterford IT,10
9868,2015,Education,NFQ Level 9,Dublin City University,60
9871,2015,Education,NFQ Level 9,University College Dublin,20
9876,2015,Education,NFQ Level 9,University of Limerick,10
9878,2015,Education,NFQ Level 9,Mater Dei Institute,10
9879,2015,Education,NFQ Level 9,Maynooth University,20
9880,2015,Education,NFQ Level 9,Mary Immaculate College,90
9881,2015,Education,NFQ Level 9,St. Patrick's College,80
9886,2015,Education,NFQ Level 9,Trinity College Dublin,20
9888,2015,Education,NFQ Level 9,Waterford IT,10
9949,2015,Arts and Humanities,NFQ Level 6,Athlone IT,10
9962,2015,Arts and Humanities,NFQ Level 6,Limerick IT,10
9978,2015,Arts and Humanities,NFQ Level 7,Athlone IT,10
9980,2015,Arts and Humanities,NFQ Level 7,IT Blanchardstown,10
9983,2015,Arts and Humanities,NFQ Level 7,IT Carlow,20
9985,2015,Arts and Humanities,NFQ Level 7,Dundalk IT,50
9986,2015,Arts and Humanities,NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",20
9988,2015,Arts and Humanities,NFQ Level 7,Dublin Institute of Technology,10
9989,2015,Arts and Humanities,NFQ Level 7,Galway-Mayo IT,40
9990,2015,Arts and Humanities,NFQ Level 7,"National University of Ireland, Galway",40
9991,2015,Arts and Humanities,NFQ Level 7,Limerick IT,20
9993,2015,Arts and Humanities,NFQ Level 7,Letterkenny IT,20
9999,2015,Arts and Humanities,NFQ Level 7,IT Sligo,10
10001,2015,Arts and Humanities,NFQ Level 7,IT Tralee,10
10002,2015,Arts and Humanities,NFQ Level 7,Trinity College Dublin,10
10006,2015,Arts and Humanities,NFQ Level 8,National College of Art and Design,140
10007,2015,Arts and Humanities,NFQ Level 8,Athlone IT,10
10009,2015,Arts and Humanities,NFQ Level 8,IT Blanchardstown,10
10010,2015,Arts and Humanities,NFQ Level 8,University College Cork,450
10011,2015,Arts and Humanities,NFQ Level 8,Cork IT,90
10012,2015,Arts and Humanities,NFQ Level 8,IT Carlow,40
10013,2015,Arts and Humanities,NFQ Level 8,Dublin City University,70
10014,2015,Arts and Humanities,NFQ Level 8,Dundalk IT,60
10015,2015,Arts and Humanities,NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",200
10016,2015,Arts and Humanities,NFQ Level 8,University College Dublin,520
10017,2015,Arts and Humanities,NFQ Level 8,Dublin Institute of Technology,300
10018,2015,Arts and Humanities,NFQ Level 8,Galway-Mayo IT,70
10019,2015,Arts and Humanities,NFQ Level 8,"National University of Ireland, Galway",710
10020,2015,Arts and Humanities,NFQ Level 8,Limerick IT,130
10021,2015,Arts and Humanities,NFQ Level 8,University of Limerick,250
10022,2015,Arts and Humanities,NFQ Level 8,Letterkenny IT,10
10023,2015,Arts and Humanities,NFQ Level 8,Mater Dei Institute,20
10024,2015,Arts and Humanities,NFQ Level 8,Maynooth University,580
10025,2015,Arts and Humanities,NFQ Level 8,Mary Immaculate College,170
10026,2015,Arts and Humanities,NFQ Level 8,St. Patrick's College,150
10028,2015,Arts and Humanities,NFQ Level 8,IT Sligo,40
10029,2015,Arts and Humanities,NFQ Level 8,IT Tallaght,40
10030,2015,Arts and Humanities,NFQ Level 8,IT Tralee,40
10031,2015,Arts and Humanities,NFQ Level 8,Trinity College Dublin,510
10033,2015,Arts and Humanities,NFQ Level 8,Waterford IT,90
10035,2015,Arts and Humanities,NFQ Level 9,National College of Art and Design,10
10039,2015,Arts and Humanities,NFQ Level 9,University College Cork,100
10040,2015,Arts and Humanities,NFQ Level 9,Cork IT,20
10041,2015,Arts and Humanities,NFQ Level 9,IT Carlow,10
10042,2015,Arts and Humanities,NFQ Level 9,Dublin City University,20
10044,2015,Arts and Humanities,NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",10
10045,2015,Arts and Humanities,NFQ Level 9,University College Dublin,120
10046,2015,Arts and Humanities,NFQ Level 9,Dublin Institute of Technology,10
10048,2015,Arts and Humanities,NFQ Level 9,"National University of Ireland, Galway",100
10050,2015,Arts and Humanities,NFQ Level 9,University of Limerick,50
10053,2015,Arts and Humanities,NFQ Level 9,Maynooth University,70
10054,2015,Arts and Humanities,NFQ Level 9,Mary Immaculate College,20
10055,2015,Arts and Humanities,NFQ Level 9,St. Patrick's College,10
10060,2015,Arts and Humanities,NFQ Level 9,Trinity College Dublin,220
10068,2015,Arts and Humanities,NFQ Level 10,University College Cork,10
10074,2015,Arts and Humanities,NFQ Level 10,University College Dublin,10
10089,2015,Arts and Humanities,NFQ Level 10,Trinity College Dublin,10
10154,2015,"Social Sciences, Journalism and Information",NFQ Level 7,IT Blanchardstown,10
10163,2015,"Social Sciences, Journalism and Information",NFQ Level 7,Galway-Mayo IT,30
10183,2015,"Social Sciences, Journalism and Information",NFQ Level 8,IT Blanchardstown,20
10184,2015,"Social Sciences, Journalism and Information",NFQ Level 8,University College Cork,310
10187,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Dublin City University,280
10189,2015,"Social Sciences, Journalism and Information",NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",40
10190,2015,"Social Sciences, Journalism and Information",NFQ Level 8,University College Dublin,420
10191,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Dublin Institute of Technology,40
10192,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Galway-Mayo IT,40
10193,2015,"Social Sciences, Journalism and Information",NFQ Level 8,"National University of Ireland, Galway",70
10194,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Limerick IT,10
10195,2015,"Social Sciences, Journalism and Information",NFQ Level 8,University of Limerick,90
10198,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Maynooth University,120
10205,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Trinity College Dublin,310
10207,2015,"Social Sciences, Journalism and Information",NFQ Level 8,Waterford IT,20
10213,2015,"Social Sciences, Journalism and Information",NFQ Level 9,University College Cork,90
10216,2015,"Social Sciences, Journalism and Information",NFQ Level 9,Dublin City University,100
10218,2015,"Social Sciences, Journalism and Information",NFQ Level 9,"Dun Laoghaire Institute of Art, Design and Technology",10
10219,2015,"Social Sciences, Journalism and Information",NFQ Level 9,University College Dublin,170
10220,2015,"Social Sciences, Journalism and Information",NFQ Level 9,Dublin Institute of Technology,20
10222,2015,"Social Sciences, Journalism and Information",NFQ Level 9,"National University of Ireland, Galway",80
10224,2015,"Social Sciences, Journalism and Information",NFQ Level 9,University of Limerick,90
10227,2015,"Social Sciences, Journalism and Information",NFQ Level 9,Maynooth University,20
10234,2015,"Social Sciences, Journalism and Information",NFQ Level 9,Trinity College Dublin,160
10236,2015,"Social Sciences, Journalism and Information",NFQ Level 9,Waterford IT,10
10242,2015,"Social Sciences, Journalism and Information",NFQ Level 10,University College Cork,10
10248,2015,"Social Sciences, Journalism and Information",NFQ Level 10,University College Dublin,10
10251,2015,"Social Sciences, Journalism and Information",NFQ Level 10,"National University of Ireland, Galway",10
10253,2015,"Social Sciences, Journalism and Information",NFQ Level 10,University of Limerick,10
10256,2015,"Social Sciences, Journalism and Information",NFQ Level 10,Maynooth University,10
10263,2015,"Social Sciences, Journalism and Information",NFQ Level 10,Trinity College Dublin,10
10297,2015,"Business, Administration and Law",NFQ Level 6,Athlone IT,70
10302,2015,"Business, Administration and Law",NFQ Level 6,IT Carlow,20
10307,2015,"Business, Administration and Law",NFQ Level 6,Dublin Institute of Technology,160
10310,2015,"Business, Administration and Law",NFQ Level 6,Limerick IT,40
10312,2015,"Business, Administration and Law",NFQ Level 6,Letterkenny IT,10
10318,2015,"Business, Administration and Law",NFQ Level 6,IT Sligo,10
10319,2015,"Business, Administration and Law",NFQ Level 6,IT Tallaght,10
10323,2015,"Business, Administration and Law",NFQ Level 6,Waterford IT,20
10326,2015,"Business, Administration and Law",NFQ Level 7,Athlone IT,70
10328,2015,"Business, Administration and Law",NFQ Level 7,IT Blanchardstown,50
10329,2015,"Business, Administration and Law",NFQ Level 7,University College Cork,10
10330,2015,"Business, Administration and Law",NFQ Level 7,Cork IT,150
10331,2015,"Business, Administration and Law",NFQ Level 7,IT Carlow,30
10333,2015,"Business, Administration and Law",NFQ Level 7,Dundalk IT,80
10334,2015,"Business, Administration and Law",NFQ Level 7,"Dun Laoghaire Institute of Art, Design and Technology",20
10335,2015,"Business, Administration and Law",NFQ Level 7,University College Dublin,10
10336,2015,"Business, Administration and Law",NFQ Level 7,Dublin Institute of Technology,10
10337,2015,"Business, Administration and Law",NFQ Level 7,Galway-Mayo IT,90
10339,2015,"Business, Administration and Law",NFQ Level 7,Limerick IT,40
10341,2015,"Business, Administration and Law",NFQ Level 7,Letterkenny IT,60
10343,2015,"Business, Administration and Law",NFQ Level 7,Maynooth University,10
10347,2015,"Business, Administration and Law",NFQ Level 7,IT Sligo,80
10348,2015,"Business, Administration and Law",NFQ Level 7,IT Tallaght,50
10349,2015,"Business, Administration and Law",NFQ Level 7,IT Tralee,20
10352,2015,"Business, Administration and Law",NFQ Level 7,Waterford IT,60
10355,2015,"Business, Administration and Law",NFQ Level 8,Athlone IT,130
10357,2015,"Business, Administration and Law",NFQ Level 8,IT Blanchardstown,60
10358,2015,"Business, Administration and Law",NFQ Level 8,University College Cork,440
10359,2015,"Business, Administration and Law",NFQ Level 8,Cork IT,250
10360,2015,"Business, Administration and Law",NFQ Level 8,IT Carlow,150
10361,2015,"Business, Administration and Law",NFQ Level 8,Dublin City University,500
10362,2015,"Business, Administration and Law",NFQ Level 8,Dundalk IT,150
10363,2015,"Business, Administration and Law",NFQ Level 8,"Dun Laoghaire Institute of Art, Design and Technology",90
10364,2015,"Business, Administration and Law",NFQ Level 8,University College Dublin,610
10365,2015,"Business, Administration and Law",NFQ Level 8,Dublin Institute of Technology,510
10366,2015,"Business, Administration and Law",NFQ Level 8,Galway-Mayo IT,130
10367,2015,"Business, Administration and Law",NFQ Level 8,"National University of Ireland, Galway",480
10368,2015,"Business, Administration and Law",NFQ Level 8,Limerick IT,110
10369,2015,"Business, Administration and Law",NFQ Level 8,University of Limerick,350
10370,2015,"Business, Administration and Law",NFQ Level 8,Letterkenny IT,50
